t,i_d
0.0045000000000000005,-5.871811199344454e-08
0.0105,-5.905047063186963e-08
0.023,-5.6668567056533514e-08
0.049,-5.567149114127841e-08
0.10600000000000001,-5.24586909698695e-08
0.2275,-5.362194620432707e-08
0.488,-5.3843518629950514e-08
1.048,-5.118464952259013e-08
2.249,-4.6254663052695264e-08
4.8265,-4.365118705175586e-08
10.3585,-4.354040083895421e-08
22.2295,-3.894277300748444e-08
47.705,-3.3458855473541054e-08
102.32,-3.246177955828595e-08
219.69,-3.290492440953283e-08
471.385,-3.135391743024935e-08
1011.665,-3.1076951898225086e-08
2170.6679999999997,-3.5619186623294034e-08
4660.464,-3.905355922028608e-08
9998.742,-4.83042079896063e-08
