v_bl,i_bl,v_sl,i_sl,v_wl,i_wl
-0.8005385615957615,-1.3411239183348646e-06,-0.0004594209783569345,1.4208678709444135e-06,0.39958948397041266,4.61968141033657e-10
-0.7999599418534741,-1.0571234618054348e-06,-0.0005729475535012206,1.0616995508624492e-06,0.2994646479169879,5.980388100441785e-10
-0.7995772471505058,-8.020935999249249e-07,-0.0004813938638686244,8.403516326724362e-07,0.19973898551180735,2.292156808861033e-10
-0.7998006383168317,-6.445556053141144e-07,-0.0003349079604551382,6.433754418406e-07,0.09935047512192717,2.113116454895364e-10
-0.799507666295421,-4.114060204628764e-07,-0.0005930893652209912,4.400488713450087e-07,-9.13711572078641e-05,3.402207003406495e-10
-0.800234603123547,-2.494365773397986e-07,-0.0004099819859544666,2.804312203369585e-07,-0.1007124276632669,5.375613400469782e-11
-0.7993447006085108,-1.952067261710156e-07,-0.0006278797672814445,2.2453643717033935e-07,-0.20085191229093918,1.4681749302917976e-09
-0.7993776599609195,-1.018139487751383e-07,-0.0003550497721749089,1.15836244727549e-07,-0.3005006696813204,-1.8257713322321138e-10
-0.799934306801601,-7.035066433812104e-08,-0.0006608390955493124,9.421062749420551e-08,-0.40111440190025605,7.770791640059395e-10
-0.799514990595956,-7.278796101985797e-08,-0.00030744185356502626,9.443947000462215e-08,-0.4998897380511304,5.622307392510447e-10
-0.7994454097408705,-1.0674393524505332e-07,-0.00041547520733288865,1.2653463208903325e-07,-0.6008129214010435,1.8982680301521932e-10
-0.8003243258051046,-1.9537290549023822e-07,-0.00030561077977244095,2.1526831549891236e-07,-0.7009304331673448,9.274730613313697e-10
-0.7995113284456882,-3.613860453807373e-07,-0.00029279326322434376,3.7374175395496254e-07,-0.8005755284141644,-1.7860007580267117e-11
-0.799991070130749,-5.346556822100867e-07,-0.0004008266169902078,5.565869197692104e-07,-0.9011617945563851,1.3750739462325156e-09
-0.7996211929537176,-9.366434553784067e-07,-0.00035688084596749415,9.480792444459817e-07,-1.0003601082886562,-7.5152920847718e-11
-0.7995937268267098,-1.23537847821108e-06,-0.00045392775697851244,1.2262373158442595e-06,-1.101391324873645,6.911397941034605e-10
-0.800507433318486,-1.7104851518316695e-06,-0.00041547520733288865,1.6820343859450718e-06,-1.2011902301500632,4.798721764302239e-10
-0.7994051260879269,-2.2139530959307296e-06,-0.0004429413142223345,2.1218696909450875e-06,-1.3012235126144414,4.0109442068715326e-10
-0.7996047132775133,-2.843440357097162e-06,-0.0002561717873713053,2.691344278089987e-06,-1.4015662462097978,7.305286719743445e-10
-0.798972992356345,-3.6249263022340603e-06,-0.0003660362149304207,3.6083162172861634e-06,-1.5009549914072855,1.3571699108359485e-09
-0.7990737014887054,-4.731569781958013e-06,-0.0004301237976742373,4.555953052876714e-06,-1.6016383043538964,4.261600702418259e-10
-0.7987496011900194,-5.341392490351287e-06,-0.0002561717873713053,5.3212024076738095e-06,-1.7015086214297712,1.511144615243037e-09
-0.798079427691041,-6.547023451217841e-06,-0.0003770226576859326,6.460723688239618e-06,-1.8014100667259219,1.2497456984604552e-09
-0.7986598785084619,-7.76218202638572e-06,-0.000428292723881652,7.508879596525954e-06,-1.9016978681678498,1.239003277221994e-09
-0.797502639023888,-8.708407069965879e-06,-0.0004136441335396372,8.52059233503013e-06,-2.001081120149996,1.1462985434989886e-10
