t,i_d
0.0108888,-4.772684239763359e-07
0.012537000000000001,-5.190902193107705e-07
0.014075200000000001,-5.172622467994627e-07
0.015467600000000001,-5.448480137882814e-07
0.0178694,-5.597487594107474e-07
0.0209236,-5.460666621291397e-07
0.023851800000000003,-5.512182210246581e-07
0.0268431,-5.750372567780394e-07
0.0308468,-5.875560988251895e-07
0.0358329,-6.120952449618218e-07
0.0408193,-5.437955447666254e-07
0.046791200000000005,-5.522152969398929e-07
0.0537764,-5.785824155878533e-07
0.0617506,-5.738740015435617e-07
0.0707403,-5.658973942215006e-07
0.08227630000000001,-5.863928435907118e-07
0.0942173,-5.575330351546138e-07
0.1081913,-5.729877118411081e-07
0.12415110000000001,-5.847310503986065e-07
0.1427416,-6.05060320448595e-07
0.16330640000000002,-5.652880700510715e-07
0.1879078,-5.777515189917804e-07
0.2158227,-5.594164007723223e-07
0.24872090000000002,-5.611335870708285e-07
0.2851729,-5.22026053950135e-07
0.3281118,-5.554280971113019e-07
0.3765894,-4.952157904509681e-07
0.43385330000000005,-5.844540848666024e-07
0.49868310000000005,-5.894948575492787e-07
0.5731513,-5.434077930217995e-07
0.6589263000000001,-5.700518772017437e-07
0.7568685,-5.416906067232933e-07
0.8706066,-6.325906943310128e-07
1.0001597,-5.904919334645539e-07
1.1506729,-6.159173693036196e-07
1.3226293,-6.160835486228423e-07
1.5202643,-6.518674953593454e-07
1.7485625,-6.58957812978953e-07
2.0097814,-6.897563801391603e-07
2.3110530000000002,-6.260543077754337e-07
2.65687,-7.607149494417171e-07
3.0545419000000003,-6.59954888894208e-07
3.512017,-7.197794438096957e-07
4.037513000000001,-7.250417889180157e-07
4.6417034,-7.733445777016487e-07
5.3374914,-7.703533499558632e-07
6.136599800000001,-8.514488577302138e-07
7.055314600000001,-8.113996418006661e-07
8.111648,-8.480698782396226e-07
9.3262693,-8.043093241810586e-07
10.723735300000001,-8.548832303272059e-07
12.3293879,-9.99071486294854e-07
14.175596100000002,-9.947508239953884e-07
16.297836,-1.0495899993346004e-06
18.738322200000002,-9.82785913012307e-07
21.5448808,-1.1743352749547135e-06
24.771029600000002,-1.1622595777588105e-06
28.480777600000003,-1.1671341711222842e-06
32.746053100000005,-1.2958677504034177e-06
37.6503713,-1.2567602172827243e-06
43.2880416,-1.420834598449114e-06
49.771133500000005,-1.5025948235003148e-06
57.2244005,-1.511568506737651e-06
65.7937715,-1.5933287317888115e-06
75.6466819,-1.8408805243049082e-06
86.9754551,-1.7516976229956948e-06
100.00026650000001,-1.8695741534217835e-06
114.9767539,-1.7365199118412047e-06
132.19505030000002,-1.8875215198964359e-06
151.9919609,-1.9296202807628946e-06
174.7533946,-2.0809542474565514e-06
200.923447,-2.2425359388348033e-06
231.01374420000002,-2.420126237963578e-06
265.60945330000004,-2.4063887475755897e-06
305.3857995,-2.5972179991347452e-06
351.119998,-2.4153070377065047e-06
403.7027082,-2.917667119677508e-06
464.1599575,-3.039642739977439e-06
533.670521,-3.0149928076279845e-06
613.5911739000001,-3.163944870746305e-06
705.4807489000001,-3.339873376682995e-06
811.1310129000001,-3.4101118356023006e-06
932.6037977000001,-3.2187840460855172e-06
1072.2677466,-3.2893548636432483e-06
1232.8477798000001,-3.4524875620007835e-06
1417.474915,-3.8231782300512685e-06
1629.7511735,-4.199906746699725e-06
1873.8175696,-4.1055168933885926e-06
2154.4356386,-4.252474804676384e-06
2477.0768626000004,-4.399543502176995e-06
2848.0370302,-4.235690693436208e-06
3274.5498971,-4.7338408993205475e-06
3764.9367041,-4.594527236716414e-06
4328.761738,-4.679167903300558e-06
4977.0239158,-4.951425021272469e-06
5722.368308,-5.1123419953738915e-06
6579.3329136,-5.28289736998946e-06
7564.6339618,-4.521962267328173e-06
8697.4904019,-5.064039206590258e-06
10000.000269900002,-5.190834027147282e-06
