t,i_d
0.0103184,-6.129248642724582e-06
0.011883600000000001,-6.0511443626960165e-06
0.0133088,-5.9768068139028695e-06
0.015367100000000002,-6.000459670337068e-06
0.0183736,-5.7239372831720716e-06
0.0204655,-5.88391257446464e-06
0.023550500000000002,-5.9834539866712695e-06
0.027118000000000003,-5.681229198135183e-06
0.031028100000000003,-5.695022081629573e-06
0.0360487,-5.59924740065838e-06
0.0410301,-5.747700925819073e-06
0.0470095,-5.693858826395136e-06
0.0540075,-5.659792065957118e-06
0.06200750000000001,-5.556096170770265e-06
0.070952,-5.328541289665752e-06
0.0819333,-5.505965409475324e-06
0.09394830000000001,-5.461318565714306e-06
0.1078645,-5.405260742034236e-06
0.1240098,-5.448190399496748e-06
0.14196340000000002,-5.2607401274281835e-06
0.16390680000000002,-5.284005232117536e-06
0.1879595,-5.218419794136101e-06
0.2160156,-5.039001522495998e-06
0.24788600000000002,-4.828618504376486e-06
0.2851306,-4.878416907033022e-06
0.3276024,-4.7674645149073175e-06
0.3774657,-4.958459945785696e-06
0.43331850000000005,-4.827510642248429e-06
0.49852680000000005,-4.66875399929674e-06
0.5730357,-4.4837964170163335e-06
0.6588109000000001,-4.4028670885611854e-06
0.7571764000000001,-4.576413690922559e-06
0.8698827,-4.439371145680939e-06
1.000291,-4.669640288999194e-06
1.1506244,-4.536032116354567e-06
1.3229569,-4.394391943281497e-06
1.5204074,-4.265049039829914e-06
1.7482539000000001,-4.268483412426926e-06
2.0098396000000003,-3.991130128665897e-06
2.3106427000000003,-3.876355612198396e-06
2.656276,-4.323267194659738e-06
3.0542663,-4.272250143662343e-06
3.5121165000000003,-3.985923176663998e-06
4.0377174,-4.01899286118672e-06
4.6420864,-4.115376866328363e-06
5.3374402000000005,-4.1426856677851775e-06
6.136212,-3.9167925798727495e-06
7.0557463,-3.6408241237718015e-06
8.111742300000001,-3.555241774378803e-06
9.3269622,-3.2114721560402865e-06
10.7232073,-3.696604981919868e-06
12.3289921,-3.508600778787255e-06
14.1753858,-3.267419193507555e-06
16.298222600000003,-3.2816552218531912e-06
18.7387818,-3.1418430212914096e-06
21.544724600000002,-3.1498750217198916e-06
24.771714000000003,-3.370671943843202e-06
28.481321,-3.4063451043668835e-06
32.7462947,-3.0119461867758186e-06
37.6497218,-3.0760914039907722e-06
43.2883774,-3.0105613591157375e-06
49.770722000000006,-2.9470254660712136e-06
57.224356900000004,-2.8284842183682745e-06
65.7940146,-2.5995445096036802e-06
75.6471697,-2.543265113498007e-06
86.97522000000001,-2.47297126147228e-06
100.00007760000001,-2.4675427370447577e-06
114.9764586,-2.4125927754927438e-06
132.1947542,-2.1068782212532647e-06
151.9912147,-2.052426797658878e-06
174.7538203,-1.9018129413484727e-06
200.92339410000002,-1.8335132411532763e-06
231.0133063,-1.821769902595778e-06
265.60992830000004,-1.992713028956192e-06
305.3865262,-1.560425226585292e-06
351.11970610000003,-1.483705774216808e-06
403.70221840000005,-1.2885004672517858e-06
464.1598736,-1.0394530608628068e-06
533.6704064,-1.1420964870280043e-06
613.5917218000001,-1.00738045225534e-06
705.4803669,-8.977021015769157e-07
811.131019,-7.544555284181421e-07
932.6035466000001,-7.848663438335236e-07
1072.2677032000001,-7.393886034764735e-07
1232.8477685,-7.022752221862902e-07
1417.4751149,-5.750372567780394e-07
1629.7518042000002,-5.93261588784716e-07
1873.8180367000002,-5.269006473136289e-07
2154.4352702,-5.185916813531429e-07
2477.0770184000003,-4.7616056184825905e-07
2848.0366549,-4.1594825518792526e-07
3274.5500449,-3.916306814769163e-07
3764.9362923000003,-3.7041512172447436e-07
4328.7622137,-3.6299244546644175e-07
4977.024178600001,-3.314183748165825e-07
5722.3685462,-4.070853581634108e-07
6579.3325615,-3.4631912043906877e-07
7564.634105700001,-3.711906252141262e-07
8697.4901358,-3.692518664899967e-07
10000.0005106,-3.9074439177444266e-07
